,Unnamed: 0,id,no_alle,no_activity,no_reise,no_bi,no_gg,x,y,prazision,typ,noten,region0,region1,region2,Region2shortcut,region3,geometry,act_sum_p1,act_sum_p2,act_sum_p3,act_sum_p4,act_sum_p5,act_sum,day_sum_p1,day_sum_p2,day_sum_p3,day_sum_p4,day_sum_p5,day_sum,stay_avg_p1,stay_avg_p2,stay_avg_p3,stay_avg_p4,stay_avg_p5,stay_avg,stay_sum_p1,stay_sum_p2,stay_sum_p3,stay_sum_p4,stay_sum_p5,stay_sum,travel_p1,travel_p2,travel_p3,travel_p4,travel_p5,travel,centr_closes_p1,centr_closes_p2,centr_closes_p3,centr_closes_p4,centr_closes_p5,centr_closes,centr_between_p1,centr_between_p2,centr_between_p3,centr_between_p4,centr_between_p5,centr_between,centr_eigen_p1,centr_eigen_p2,centr_eigen_p3,centr_eigen_p4,centr_eigen_p5,centr_eigen,centr_infos_p1,centr_infos_p2,centr_infos_p3,centr_infos_p4,centr_infos_p5,centr_infos,infl_dist_p1,infl_dist_p2,infl_dist_p3,infl_dist_p4,infl_dist_p5,infl_dist,infl_reg_p1,infl_reg_p2,infl_reg_p3,infl_reg_p4,infl_reg_p5,infl_reg,infl_sum_p1,infl_sum_p2,infl_sum_p3,infl_sum_p4,infl_sum_p5,infl_sum,median,median_p1,median_p2,median_p3,median_p4,median_p5
Drosendorf,90,89.0,5.0,2.0,2.0,0.0,1.0,48.866,15.622,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordwestniederösterreich,NWNÖ,Nordwestniederösterreich,POINT (15.622 48.866),,,,0.0,,0.0,,,,0.013192612137203167,,0.004366812227074236,,,,0.15384615384615385,,0.17857142857142858,,,,0.0,,0.0,0.0,0.0,0.0,0.04182246943134064,0.0,0.011478550269496408,,,,0.33734499204295526,,0.69456794704161,,,,0.09377561493373797,,0.0007715685543573079,,,,0.0008818843722879406,,0.0016947264318926216,,,,0.10573517628182537,,0.32380533807729434,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0030307693294834284,0.0,0.0,0.0,0.0275075407842719,0.0
Eggenburg,96,95.0,4.0,1.0,1.0,1.0,1.0,48.639,15.819,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordostniederösterreich,NONÖ,Nordostniederösterreich,POINT (15.819 48.639),,,0.0,,,0.0,,,0.04588235294117647,,,0.01703056768558952,,,0.319672131147541,,,0.6964285714285714,,,0.0,,,0.0,0.0,0.00023459628790963434,0.18434657961200454,0.00016024297226744638,0.0,0.04158909551827267,,,0.3752770119183495,,,0.2985474366034677,,,0.0,,,0.0,,,0.07987478748741401,,,0.028620743553886215,,,0.3878237244805164,,,0.37498670789975785,,,0.5001825959937253,,,0.30677614996581526,0.0,0.0,0.06451612903225806,0.0,0.0,0.045454545454545456,,,0.024691358024691357,,,0.009389671361502348,0.03510491953607944,0.0,0.00011729814395481717,0.07219545825983603,8.012148613372319e-05,0.0
Enns,104,103.0,9.0,2.0,2.0,2.0,3.0,48.214,14.479,1.0,gemeinde,,Oberösterreich,Oberösterreich,Oberösterreich,OÖ,Oberösterreich,POINT (14.479 48.214),0.0,0.0,,,,0.006622516556291391,0.005988023952095809,0.006160164271047228,,,,0.003056768558951965,0.01863354037267081,0.047619047619047616,,,,0.0625,0.0,0.0,,,,0.016129032258064516,0.0445952447439516,0.0191952996171577,0.0,0.0,0.0,0.02025097997820279,0.44808353018495334,0.4667840509232119,,,,0.5559046843713505,0.0,0.08368644067796593,,,,0.07591158241454293,0.2179301434511608,0.07485012899827156,,,,0.030176402599935075,0.18944099378882043,0.4334728797128546,,,,0.529718074697131,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.025213691289068932,0.012310782162383311,0.03340717361810266,0.0,0.0,0.0
Freistadt,113,112.0,18.0,9.0,9.0,0.0,0.0,48.517,14.517,3.0,gemeinde,,Oberösterreich,Oberösterreich,Oberösterreich,OÖ,Oberösterreich,POINT (14.517 48.517),,,0.0,0.0784313725490196,,0.033112582781456956,,,0.04588235294117647,0.04221635883905013,,0.031004366812227076,,,0.319672131147541,0.24615384615384617,,0.4226190476190476,,,0.0,0.058823529411764705,,0.03225806451612903,0.0,0.0,0.25170190952816945,0.46836767396647083,0.0,0.15998863050581508,,,0.4465796491547342,0.5967433812791008,,0.6619719844135764,,,0.0,0.2672605025611534,,0.0034867550385008347,,,0.14664538775494848,0.1537610943236639,,0.11210810365293801,,,0.4409898947240396,0.6916129178994412,,0.7110353174027858,,,,0.20355952991626078,,0.1030538805274573,0.0,0.0,0.0,0.16666666666666666,0.0,0.11363636363636363,,,0.024691358024691357,0.09333333333333334,,0.046948356807511735,0.10758099209019766,0.0,0.0,0.04588235294117647,0.18511309829146372,0.0
Friesach,114,113.0,11.0,4.0,4.0,2.0,1.0,46.984,14.326,1.0,gemeinde,,Kärnten,Kärnten,Ostkärnten,OK,Ostkärnten,POINT (14.326 46.984),,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,0.0,,0.0,0.0,0.1433113127341189,,0.08558933597253567,,,,0.0,,0.019878077866004686,,,,0.09025902937372285,,0.10763687511284019,,,,2.5868145125709966e-05,,2.143680422371195e-05,,,,0.13624698589644574,,0.07672169334889148,,,,0.4391530886076172,,0.22232528216807437,0.0,0.0,0.0,0.03333333333333333,0.0,0.022727272727272728,,,,0.0,,0.0,0.009949757335114199,0.0,0.0,0.0,1.2934072562854983e-05,0.0
Gaming,119,118.0,4.0,2.0,2.0,0.0,0.0,47.929,15.088,1.0,gemeinde,,Niederösterreich,Niederösterreich,Südwestniederösterreich,SWNÖ,Südwestniederösterreich,POINT (15.088 47.929),,0.0,,,,0.0,,0.008213552361396304,,,,0.0017467248908296944,,0.06349206349206349,,,,0.07142857142857142,,0.0,,,,0.0,0.0,0.024554229741776623,0.0,0.0,,0.013032971971386878,,0.4547448366412562,,,,0.5300979270280868,,0.0,,,,0.0,,0.14665816005485494,,,,0.04169279282638903,,0.4662586700403561,,,,0.42957131083861244,,0.7160760289215109,,,,0.2558563350668708,0.0,0.058823529411764705,0.0,0.0,0.0,0.022727272727272728,,0.05128205128205128,,,,0.009389671361502348,0.017880122349329803,0.0,0.05505279034690799,0.0,0.0,0.0
Głubczyce,127,126.0,9.0,2.0,2.0,4.0,1.0,50.201,17.829,1.0,gemeinde,,Schlesien,Schlesien,Troppauer Teil,TT,Troppauer Teil,POINT (17.829 50.201),,,0.017241379310344827,,,0.006622516556291391,,,0.06470588235294118,,,0.024017467248908297,,,0.22540983606557377,,,0.49107142857142855,,,0.038461538461538464,,,0.016129032258064516,,0.0,0.9636360472262964,,0.0,0.3739623766143525,,,0.4187953418329816,,,0.4273213951750649,,,0.05809212618916804,,,0.02683954401377531,,,0.06652836936871363,,,0.0309892449630002,,,0.5921728781894874,,,0.6250972899608287,,,0.5739937941245475,,,0.35204664791657103,0.0,0.0,0.06451612903225806,0.0,0.0,0.045454545454545456,,,0.024691358024691357,,,0.009389671361502348,0.038221895208772824,0.0,0.0,0.06561712586082741,0.0,0.0
Graz,135,134.0,82.0,39.0,40.0,2.0,1.0,47.067,15.45,1.0,gemeinde,,Steiermark,Steiermark,Mittelsteiermark,MS,Mittelsteiermark,POINT (15.45 47.067),,,0.2413793103448276,0.09803921568627451,,0.13245033112582782,,,0.06941176470588235,0.017150395778364115,,0.0314410480349345,,,0.12090163934426229,0.2,,0.2571428571428572,,,0.11538461538461539,0.0,,0.06451612903225806,0.0,0.0,0.8621215693437831,0.1101554215063573,,0.49673111441612394,0.0,,0.36071389265229076,0.4009734507606605,,0.4101004911335681,0.0,,0.08634300089639403,0.0,,0.02003720670746558,0.0,,0.2755791734956313,0.08308183372658452,,0.15385488924525442,0.0,,0.7675259355952443,0.5607172155681523,,0.8284623887626984,,,0.16652123942850583,0.23969169283708194,,0.10213219158079939,0.0,0.0,0.22580645161290322,0.23333333333333334,0.0,0.25,,,0.2716049382716049,0.12,,0.15023474178403756,0.152044815514646,0.0,0.0,0.2335928809788654,0.11507771075317866,0.0
Groißenbrunn,137,136.0,2.0,1.0,1.0,0.0,0.0,48.223,16.902,1.0,gemeinde,,Niederösterreich,Niederösterreich,Nordostniederösterreich,NONÖ,Nordostniederösterreich,POINT (16.902 48.223),,0.0,0.0,,,0.0,,0.008213552361396304,0.004705882352941176,,,0.0017467248908296944,,0.06349206349206349,0.03278688524590164,,,0.07142857142857142,,0.0,0.0,,,0.0,0.0,0.004884460453555681,0.028896713158056406,0.0,0.0,0.008006617038874965,,0.01176146700207694,0.5881680475094365,,,0.7347096428369758,,0.0,0.0008674782407540203,,,0.0,,0.0,0.010924893628939884,,,0.005131421583107555,,0.0,0.3128675211738197,,,0.37959090376773097,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.003439073236968625,0.0,0.0,0.007815387990940531,0.0,0.0
Hainburg,147,146.0,11.0,5.0,5.0,0.0,1.0,48.146,16.946,3.0,gemeinde,,Niederösterreich,Niederösterreich,Südostniederösterreich,SONÖ,Südostniederösterreich,POINT (16.946 48.146),0.375,,,0.0196078431372549,,0.033112582781456956,0.25149700598802394,,,0.0079155672823219,,0.0222707423580786,0.7826086956521741,,,0.09230769230769231,,0.45535714285714285,0.0,,,0.0,,0.016129032258064516,0.16495952643767714,0.0,0.0,0.039189284859900295,0.0,0.04792573948784259,0.6146219767009854,,,0.809221749597473,,0.8048694201808572,0.014084507042253504,,,0.10089537678489616,,0.018415056405384662,0.27918478584306483,,,0.11690580423052603,,0.0716684911653582,0.39399696048632304,,,0.5867479300683813,,0.6363019791905546,0.6208495729430341,,,,,0.2246871097309616,0.625,0.0,0.0,0.0,0.0,0.11363636363636363,0.4666666666666667,,,,,0.03755868544600939,0.0597971153266004,0.3844984802431615,0.0,0.0,0.06574848858379631,0.0
Hartberg,151,150.0,2.0,1.0,1.0,0.0,0.0,47.281,15.97,1.0,gemeinde,,Steiermark,Steiermark,Mittelsteiermark,MS,Mittelsteiermark,POINT (15.97 47.281),,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.02303399983809002,,0.003704674015701569,,,,0.5728178731473147,,0.5521816887685257,,,,0.042667904794850796,,0.03923437232652928,,,,0.04221182416519939,,0.020883812819995344,,,,0.46960080681520094,,0.3093717245120563,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0018523370078507846,0.0,0.0,0.0,0.01151699991904501,0.0
Havlíčkův Brod,154,153.0,9.0,3.0,3.0,2.0,1.0,49.607,15.579,1.0,gemeinde,,Böhmen,Böhmen,Böhmischmährische Höhe,BMH,Böhmischmährische Höhe,POINT (15.579 49.607),,,0.017241379310344827,,,0.006622516556291391,,,0.021176470588235293,,,0.007860262008733625,,,0.07377049180327869,,,0.16071428571428573,,,0.038461538461538464,,,0.016129032258064516,0.0,0.0,0.07693177339855979,0.0,0.0,0.02927170290682061,,,0.8013456676043288,,,0.7946036616246284,,,0.21016106179336674,,,0.12231163326321438,,,0.09733502272536455,,,0.03434585289324446,,,0.5769029532352788,,,0.5762486843749013,,,0.20019374967705242,,,0.12278449563230456,0.0,0.0,0.06451612903225806,0.0,0.0,0.045454545454545456,,,0.037037037037037035,,,0.014084507042253521,0.03990019917389496,0.0,0.0,0.07535113260091925,0.0,0.0
Herzogenbirbaum,160,159.0,2.0,1.0,1.0,0.0,0.0,48.519,16.251,2.0,gemeinde,,Niederösterreich,Niederösterreich,Nordostniederösterreich,NONÖ,Nordostniederösterreich,POINT (16.251 48.519),,,0.0,,,0.0,,,0.004705882352941176,,,0.0017467248908296944,,,0.03278688524590164,,,0.07142857142857142,,,0.0,,,0.0,0.0,0.0,0.016722789787407683,0.0,0.0,0.003738469934921783,,,0.7382567853594251,,,0.9335241059474826,,,0.0,,,0.007145487903128761,,,0.06696765116577476,,,0.028258518909733178,,,0.41722847083454445,,,0.42696294417941505,,,1.0,,,0.6133283173444598,0.0,0.0,0.03225806451612903,0.0,0.0,0.022727272727272728,,,0.0,,,0.0,0.014936380315200745,0.0,0.0,0.024490427151768357,0.0,0.0
Hradec Králové,172,171.0,9.0,4.0,4.0,1.0,0.0,50.209,15.833,1.0,gemeinde,,Böhmen,Böhmen,Nordostböhmen,NOB,Nordostböhmen,POINT (15.833 50.209),,0.0,0.017241379310344827,,0.0,0.019867549668874173,,0.061601642710472276,0.14352941176470588,,0.0,0.06768558951965066,,0.47619047619047616,1.0,,0.0,0.9226190476190474,,0.0,0.0,,0.0,0.03225806451612903,,0.5210560527789907,0.5229641359932858,0.0,0.0668726213938361,0.35719639453511504,,0.5741204402709095,0.0,,0.5807168928723982,0.5420992771250348,,0.057203389830508426,0.006419338981580518,,0.31249999999999994,0.044342170715888654,,0.06910560035852559,0.001242515540899028,,0.163639798138534,0.06058853683071194,,0.43355731017970195,0.24178884446524426,,0.24892094972992665,0.6955795553575508,,,0.14090947663252304,,,0.08642377220091382,0.0,0.0,0.0967741935483871,0.0,0.0,0.06818181818181818,,,0.07407407407407407,,,0.028169014084507043,0.06793370385073441,0.0,0.06535362153449893,0.08542413381123058,0.0,0.03343631069691805
Hradec nad Moravicí,173,172.0,6.0,3.0,3.0,0.0,0.0,49.871,17.875,1.0,gemeinde,,Schlesien,Schlesien,Troppauer Teil,TT,Troppauer Teil,POINT (17.875 49.871),,,,,0.18181818181818182,0.013245033112582781,,,,,0.11458333333333333,0.010917030567685589,,,,,0.2638888888888889,0.22321428571428573,,,,,0.25,0.016129032258064516,,0.0,0.0,0.0,0.28392800883858,0.12810619214951435,,,,,0.72444429384973,0.5014122773506031,,,,,0.06944444444444439,0.0026876304643448545,,,,,0.0,0.003393644759583554,,,,,0.23633688957390386,0.3133804565844085,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.022727272727272728,,,,,0.11764705882352941,0.009389671361502348,0.019428152492668622,0.0,0.0,0.0,0.0,0.20907753569604284
Jablonné v Podještědí,182,181.0,2.0,1.0,1.0,0.0,0.0,50.765,14.76,1.0,gemeinde,,Böhmen,Böhmen,Nordböhmen,NB,Nordböhmen,POINT (14.76 50.765),,0.0,,,,0.0,,0.02053388090349076,,,,0.004366812227074236,,0.15873015873015872,,,,0.17857142857142858,,0.0,,,,0.0,,0.07949291163980218,0.0,0.0,0.0,0.016019449302798847,,0.6414835949281282,,,,0.5818053205895537,,0.0,,,,0.0,,0.13516910277536295,,,,0.05547246019536051,,0.4642815390569533,,,,0.43314688200458756,,0.22138498281049013,,,,0.07910158705639735,0.0,0.11764705882352941,0.0,0.0,0.0,0.045454545454545456,,0.10256410256410256,,,,0.018779342723004695,0.03211694408877508,0.0,0.11010558069381599,0.0,0.0,0.0
Jaroměřice nad Rokytkou,184,183.0,5.0,2.0,2.0,1.0,0.0,49.094,15.893,1.0,gemeinde,Jaromerice nad Rokytnou?,Mähren,Mähren,Znaimer Teil,ZT,Znaimer Teil,POINT (15.893 49.094),,,0.0,,,0.0,,,0.009411764705882352,,,0.0034934497816593887,,,0.06557377049180328,,,0.14285714285714285,,,0.0,,,0.0,0.0,0.0,0.033391751423827803,0.0001413056836754991,0.0006435027991357247,0.009958506006876743,,0.5386836102416145,0.6957816779294008,,,0.8350230582057155,,0.0,0.0,,,0.05224150738939285,,0.07276286751362984,0.04621392958951167,,,0.04502959667083573,,0.23480346993690956,0.39999049459210584,,,0.5550573803313131,,,0.1483906401757842,,,0.09101218164868093,0.0,0.0,0.0967741935483871,0.0,0.0,0.06818181818181818,,,0.037037037037037035,,,0.014084507042253521,0.04863555203011429,0.0,0.03638143375681492,0.041625483313274356,7.065284183774955e-05,0.00032175139956786236
Jihlava,189,188.0,17.0,7.0,6.0,4.0,0.0,49.396,15.591,1.0,gemeinde,,Böhmen,Böhmen,Böhmischmährische Höhe,BMH,Böhmischmährische Höhe,POINT (15.591 49.396),,,0.05172413793103448,0.0,,0.026490066225165563,,,0.058823529411764705,0.011873350923482849,,0.02576419213973799,,,0.10245901639344263,0.13846153846153847,,0.21071428571428572,,,0.11538461538461539,0.0,,0.06451612903225806,0.0,0.0,0.20161591151555142,0.0488010840264639,0.0,0.0898782023173892,,,0.7130536959528337,0.7813039538713087,,0.7619950643612311,,,0.0,0.10089537678489616,,0.0,,,0.42060117675765407,0.11690580423052603,,0.21059458231558575,,,0.770681399058333,0.5867479300683813,,0.811978109976656,,,0.3316735361692609,0.0,,0.20106226146377987,0.0,0.0,0.16129032258064516,0.03333333333333333,0.0,0.13636363636363635,,,0.07407407407407407,0.0,,0.03286384976525822,0.11312091934051277,0.0,0.0,0.13833746898263027,0.04106720867989862,0.0
Jindřichův Hradec,190,189.0,3.0,1.0,1.0,1.0,0.0,49.144,15.003,1.0,gemeinde,,Böhmen,Böhmen,Südböhmen,SB,Südböhmen,POINT (15.003 49.144),,,,,0.0,0.0,,,,,0.015625,0.0026200873362445414,,,,,0.08333333333333333,0.10714285714285714,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.12586920929710463,0.007994630652165302,,,,,0.5617612060614253,0.5483387425586639,,,,,0.13194444444444436,0.003138046133414703,,,,,0.14816604149922577,0.01845148164304047,,,,,0.2233265123048972,0.40256121270127027,,,,,0.5606379266708454,0.5783232954733453,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0055663383927900024,0.0,0.0,0.0,0.0,0.10460127131521899
